Year,Inflation Rate (%),Annual Change
2020,1.94%,-0.21%
2019,2.15%,-0.27%
2018,2.42%,0.24%
2017,2.18%,0.69%
2016,1.49%,0.06%
2015,1.43%,-0.91%
2014,2.35%,-0.26%
2013,2.61%,-1.12%
2012,3.73%,-1.10%
2011,4.82%,1.48%
2010,3.34%,0.42%
2009,2.92%,-6.03%
2008,8.95%,4.14%
2007,4.82%,0.53%
2006,4.28%,0.17%
2005,4.11%,0.73%
2004,3.38%,0.36%
2003,3.02%,-0.01%
2002,3.03%,-0.89%
2001,3.92%,0.36%
2000,3.56%,0.29%
1999,3.26%,-1.83%
1998,5.10%,-0.46%
1997,5.55%,-1.12%
1996,6.68%,-2.57%
1995,9.25%,-1.31%
1994,10.56%,3.42%
1993,7.14%,-0.68%
1992,7.83%,-1.17%
1991,9.00%,0.55%
1990,8.45%,0.92%
1989,7.53%,0.36%
1988,7.17%,1.11%
1987,6.06%,0.07%
1986,5.99%,-1.10%
1985,7.10%,-1.22%
1984,8.32%,-0.80%
1983,9.11%,-1.18%
1982,10.30%,-2.37%
1981,12.66%,-2.37%
